sku,categoria,subcategoria,nombre_articulo,temporada_fuerte,pvp_bruto_ref_eur,iva_pct,coste_produccion_eur,margen_objetivo_pct
SKU0001,Ropa Mujer,Blazer,Blazer Nordic 001,Primavera,42.99,0.21,11.66,0.672
SKU0002,Ropa Mujer,Vestido,Vestido Basic 002,Otono,48.99,0.21,12.14,0.7
SKU0003,Ropa Mujer,Falda,Falda Soft 003,Verano,21.99,0.21,7.39,0.593
SKU0004,Ropa Mujer,Abrigo,Abrigo Urban 004,Primavera,50.99,0.21,13.39,0.682
SKU0005,Ropa Mujer,Camiseta,Camiseta Nordic 005,Todo el ano,15.99,0.21,6.51,0.508
SKU0006,Ropa Mujer,Vaquero,Vaquero Trend 006,Todo el ano,40.99,0.21,6.31,0.814
SKU0007,Ropa Mujer,Blazer,Blazer Weekender 007,Primavera,30.99,0.21,7.84,0.694
SKU0008,Ropa Mujer,Blazer,Blazer Basic 008,Primavera,29.99,0.21,6.56,0.735
SKU0009,Ropa Mujer,Camiseta,Camiseta Soft 009,Verano,13.99,0.21,3.11,0.731
SKU0010,Ropa Mujer,Vestido,Vestido Modern 010,Todo el ano,41.99,0.21,8.02,0.769
SKU0011,Ropa Mujer,Vestido,Vestido Basic 011,Todo el ano,22.99,0.21,3.41,0.821
SKU0012,Ropa Mujer,Vaquero,Vaquero Soft 012,Todo el ano,25.99,0.21,10.46,0.513
SKU0013,Ropa Mujer,Jersey,Jersey Weekender 013,Verano,27.99,0.21,8.56,0.63
SKU0014,Ropa Mujer,Falda,Falda Comfort 014,Todo el ano,27.99,0.21,5.02,0.783
SKU0015,Ropa Mujer,Vestido,Vestido Essential 015,Primavera,29.99,0.21,4.13,0.834
SKU0016,Ropa Mujer,Pantalon,Pantalon Urban 016,Invierno,22.99,0.21,6.07,0.68
SKU0017,Ropa Mujer,Jersey,Jersey Studio 017,Otono,21.99,0.21,3.13,0.828
SKU0018,Ropa Mujer,Camiseta,Camiseta Urban 018,Verano,11.99,0.21,4.8,0.516
SKU0019,Ropa Mujer,Falda,Falda Studio 019,Primavera,20.99,0.21,2.65,0.847
SKU0020,Ropa Mujer,Jersey,Jersey Trend 020,Invierno,34.99,0.21,6.88,0.762
SKU0021,Ropa Mujer,Blazer,Blazer Trend 021,Otono,56.99,0.21,8.82,0.813
SKU0022,Ropa Mujer,Pantalon,Pantalon Studio 022,Todo el ano,28.99,0.21,9.33,0.611
SKU0023,Ropa Mujer,Vaquero,Vaquero Essential 023,Primavera,39.99,0.21,8.87,0.732
SKU0024,Ropa Mujer,Vaquero,Vaquero Move 024,Invierno,29.99,0.21,11.57,0.533
SKU0025,Ropa Mujer,Blazer,Blazer Modern 025,Primavera,51.99,0.21,17.54,0.592
SKU0026,Ropa Mujer,Pantalon,Pantalon Weekender 026,Primavera,38.99,0.21,13.39,0.584
SKU0027,Ropa Mujer,Vestido,Vestido Modern 027,Otono,23.99,0.21,4.15,0.791
SKU0028,Ropa Mujer,Camiseta,Camiseta Nordic 028,Todo el ano,10.99,0.21,3.97,0.563
SKU0029,Ropa Mujer,Camiseta,Camiseta Studio 029,Todo el ano,18.99,0.21,3.04,0.806
SKU0030,Ropa Mujer,Abrigo,Abrigo Soft 030,Primavera,44.99,0.21,14.55,0.609
SKU0031,Ropa Mujer,Blazer,Blazer Basic 031,Verano,52.99,0.21,7.0,0.84
SKU0032,Ropa Mujer,Vaquero,Vaquero Essential 032,Primavera,32.99,0.21,12.26,0.55
SKU0033,Ropa Mujer,Pantalon,Pantalon Soft 033,Primavera,15.99,0.21,5.55,0.58
SKU0034,Ropa Mujer,Vestido,Vestido Weekender 034,Otono,23.99,0.21,5.21,0.737
SKU0035,Ropa Mujer,Vestido,Vestido Comfort 035,Otono,23.99,0.21,6.4,0.677
SKU0036,Ropa Mujer,Pantalon,Pantalon Urban 036,Otono,32.99,0.21,8.09,0.703
SKU0037,Ropa Mujer,Camiseta,Camiseta Studio 037,Verano,11.99,0.21,2.17,0.781
SKU0038,Ropa Mujer,Vestido,Vestido Nordic 038,Otono,41.99,0.21,8.38,0.759
SKU0039,Ropa Mujer,Pantalon,Pantalon Move 039,Primavera,18.99,0.21,7.17,0.543
SKU0040,Ropa Mujer,Abrigo,Abrigo Heritage 040,Verano,76.99,0.21,22.96,0.639
SKU0041,Ropa Mujer,Vestido,Vestido Modern 041,Verano,28.99,0.21,7.88,0.671
SKU0042,Ropa Mujer,Falda,Falda Urban 042,Invierno,24.99,0.21,3.42,0.834
SKU0043,Ropa Mujer,Abrigo,Abrigo Weekender 043,Otono,48.99,0.21,7.14,0.824
SKU0044,Ropa Mujer,Pantalon,Pantalon Nordic 044,Todo el ano,15.99,0.21,4.04,0.694
SKU0045,Ropa Mujer,Falda,Falda Soft 045,Otono,24.99,0.21,9.56,0.537
SKU0046,Ropa Mujer,Falda,Falda Basic 046,Verano,15.99,0.21,4.67,0.647
SKU0047,Ropa Mujer,Vestido,Vestido Basic 047,Otono,49.99,0.21,12.04,0.709
SKU0048,Ropa Mujer,Pantalon,Pantalon Weekender 048,Otono,38.99,0.21,7.04,0.782
SKU0049,Ropa Mujer,Abrigo,Abrigo Trend 049,Verano,56.99,0.21,10.61,0.775
SKU0050,Ropa Mujer,Camiseta,Camiseta Heritage 050,Otono,8.99,0.21,3.43,0.538
SKU0051,Ropa Mujer,Pantalon,Pantalon Soft 051,Invierno,35.99,0.21,6.58,0.779
SKU0052,Ropa Mujer,Camiseta,Camiseta Weekender 052,Invierno,12.99,0.21,3.37,0.686
SKU0053,Ropa Mujer,Blazer,Blazer Urban 053,Otono,46.99,0.21,7.62,0.804
SKU0054,Ropa Mujer,Abrigo,Abrigo Urban 054,Verano,62.99,0.21,18.51,0.644
SKU0055,Ropa Mujer,Abrigo,Abrigo Move 055,Todo el ano,52.99,0.21,15.37,0.649
SKU0056,Ropa Mujer,Blazer,Blazer Modern 056,Otono,48.99,0.21,7.95,0.804
SKU0057,Ropa Mujer,Vestido,Vestido Move 057,Todo el ano,33.99,0.21,11.61,0.587
SKU0058,Ropa Mujer,Jersey,Jersey Weekender 058,Todo el ano,20.99,0.21,4.14,0.761
SKU0059,Ropa Mujer,Camiseta,Camiseta Weekender 059,Otono,22.99,0.21,8.8,0.537
SKU0060,Ropa Mujer,Camiseta,Camiseta Soft 060,Verano,9.99,0.21,2.41,0.708
SKU0061,Ropa Mujer,Abrigo,Abrigo Modern 061,Invierno,41.99,0.21,7.33,0.789
SKU0062,Ropa Mujer,Vestido,Vestido Trend 062,Primavera,28.99,0.21,10.77,0.55
SKU0063,Ropa Mujer,Jersey,Jersey Trend 063,Verano,34.99,0.21,12.78,0.558
SKU0064,Ropa Mujer,Blazer,Blazer Nordic 064,Verano,35.99,0.21,13.27,0.554
SKU0065,Ropa Mujer,Jersey,Jersey Nordic 065,Invierno,18.99,0.21,7.73,0.507
SKU0066,Ropa Mujer,Jersey,Jersey Heritage 066,Primavera,17.99,0.21,6.53,0.561
SKU0067,Ropa Mujer,Jersey,Jersey Weekender 067,Invierno,17.99,0.21,4.36,0.707
SKU0068,Ropa Mujer,Pantalon,Pantalon Heritage 068,Invierno,32.99,0.21,9.88,0.638
SKU0069,Ropa Mujer,Camiseta,Camiseta Modern 069,Otono,13.99,0.21,3.74,0.677
SKU0070,Ropa Mujer,Vestido,Vestido Modern 070,Primavera,46.99,0.21,7.85,0.798
SKU0071,Ropa Mujer,Pantalon,Pantalon Nordic 071,Primavera,16.99,0.21,6.13,0.564
SKU0072,Ropa Mujer,Vestido,Vestido Nordic 072,Todo el ano,26.99,0.21,9.21,0.587
SKU0073,Ropa Mujer,Falda,Falda Essential 073,Otono,22.99,0.21,6.73,0.646
SKU0074,Ropa Mujer,Pantalon,Pantalon Trend 074,Otono,16.99,0.21,5.18,0.631
SKU0075,Ropa Mujer,Camiseta,Camiseta Weekender 075,Verano,17.99,0.21,6.9,0.536
SKU0076,Ropa Mujer,Pantalon,Pantalon Comfort 076,Primavera,36.99,0.21,14.73,0.518
SKU0077,Ropa Mujer,Pantalon,Pantalon Move 077,Otono,38.99,0.21,14.99,0.535
SKU0078,Ropa Mujer,Abrigo,Abrigo Modern 078,Verano,73.99,0.21,11.26,0.816
SKU0079,Ropa Mujer,Jersey,Jersey Modern 079,Primavera,35.99,0.21,6.52,0.781
SKU0080,Ropa Mujer,Blazer,Blazer Nordic 080,Otono,52.99,0.21,12.05,0.725
SKU0081,Ropa Mujer,Abrigo,Abrigo Nordic 081,Todo el ano,70.99,0.21,26.57,0.547
SKU0082,Ropa Mujer,Vestido,Vestido Heritage 082,Verano,35.99,0.21,9.52,0.68
SKU0083,Ropa Mujer,Falda,Falda Urban 083,Otono,27.99,0.21,7.82,0.662
SKU0084,Ropa Mujer,Camiseta,Camiseta Urban 084,Todo el ano,14.99,0.21,3.42,0.724
SKU0085,Ropa Mujer,Camiseta,Camiseta Modern 085,Primavera,12.99,0.21,4.84,0.549
SKU0086,Ropa Mujer,Camiseta,Camiseta Heritage 086,Otono,16.99,0.21,4.97,0.646
SKU0087,Ropa Mujer,Abrigo,Abrigo Comfort 087,Primavera,45.99,0.21,14.12,0.629
SKU0088,Ropa Mujer,Vestido,Vestido Trend 088,Otono,30.99,0.21,9.87,0.615
SKU0089,Ropa Mujer,Camiseta,Camiseta Essential 089,Verano,14.99,0.21,3.22,0.74
SKU0090,Ropa Mujer,Vestido,Vestido Basic 090,Verano,28.99,0.21,4.02,0.832
SKU0091,Ropa Mujer,Camiseta,Camiseta Heritage 091,Primavera,23.99,0.21,6.58,0.668
SKU0092,Ropa Mujer,Abrigo,Abrigo Trend 092,Invierno,50.99,0.21,13.17,0.687
SKU0093,Ropa Mujer,Vestido,Vestido Trend 093,Todo el ano,45.99,0.21,10.32,0.728
SKU0094,Ropa Mujer,Vestido,Vestido Urban 094,Verano,44.99,0.21,11.66,0.686
SKU0095,Ropa Mujer,Pantalon,Pantalon Nordic 095,Invierno,31.99,0.21,10.55,0.601
SKU0096,Ropa Mujer,Jersey,Jersey Modern 096,Verano,30.99,0.21,10.99,0.571
SKU0097,Ropa Mujer,Vestido,Vestido Essential 097,Todo el ano,40.99,0.21,6.73,0.801
SKU0098,Ropa Mujer,Camiseta,Camiseta Heritage 098,Invierno,10.99,0.21,2.59,0.715
SKU0099,Ropa Mujer,Camiseta,Camiseta Soft 099,Todo el ano,9.99,0.21,2.03,0.754
SKU0100,Ropa Mujer,Vaquero,Vaquero Move 100,Verano,22.99,0.21,3.28,0.828
SKU0101,Ropa Mujer,Vaquero,Vaquero Move 101,Otono,23.99,0.21,3.26,0.836
SKU0102,Ropa Mujer,Abrigo,Abrigo Weekender 102,Otono,71.99,0.21,17.39,0.708
SKU0103,Ropa Mujer,Pantalon,Pantalon Comfort 103,Todo el ano,34.99,0.21,6.41,0.778
SKU0104,Ropa Mujer,Vaquero,Vaquero Comfort 104,Primavera,43.99,0.21,14.95,0.589
SKU0105,Ropa Mujer,Blazer,Blazer Soft 105,Verano,45.99,0.21,17.74,0.533
SKU0106,Ropa Mujer,Abrigo,Abrigo Trend 106,Otono,62.99,0.21,22.91,0.56
SKU0107,Ropa Mujer,Vestido,Vestido Basic 107,Todo el ano,36.99,0.21,9.16,0.7
SKU0108,Ropa Mujer,Pantalon,Pantalon Modern 108,Verano,26.99,0.21,7.07,0.683
SKU0109,Ropa Mujer,Camiseta,Camiseta Heritage 109,Verano,21.99,0.21,4.0,0.78
SKU0110,Ropa Mujer,Vaquero,Vaquero Basic 110,Primavera,32.99,0.21,7.91,0.71
SKU0111,Ropa Mujer,Vestido,Vestido Move 111,Primavera,48.99,0.21,18.55,0.542
SKU0112,Ropa Mujer,Pantalon,Pantalon Soft 112,Primavera,18.99,0.21,7.37,0.531
SKU0113,Ropa Mujer,Pantalon,Pantalon Basic 113,Otono,31.99,0.21,9.35,0.647
